Tournament,Stage,Match Type,Match Name,Map,Team,Elimination,Detonated,Defused,Time Expiry (No Plant),Eliminated,Defused Failed,Detonation Denied,Time Expiry (Failed to Plant)
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,8,1,3,1,3,3,2,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,3,3,2,1,8,1,3,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,9,0,4,0,3,2,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,3,2,0,0,9,0,4,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,4,0,1,1,8,3,2,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,8,3,2,0,4,0,1,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,10,0,2,1,3,0,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,3,0,1,0,10,0,2,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,11,1,1,0,6,2,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,6,2,1,0,11,1,1,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,12,3,1,1,9,3,3,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,9,3,3,0,12,3,1,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,9,0,3,1,8,1,2,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,8,1,2,0,9,0,3,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,3,1,4,0,5,4,3,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,5,4,3,1,3,1,4,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,5,2,3,0,7,1,2,3
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,7,1,2,3,5,2,3,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,8,2,3,0,11,2,3,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,11,2,3,0,8,2,3,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,9,0,5,0,13,1,2,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,13,1,2,0,9,0,5,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,6,1,3,0,11,1,1,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,11,1,1,0,6,1,3,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,G2 Esports,6,0,4,0,6,1,5,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,Team Heretics,6,1,5,1,6,0,4,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,Bilibili Gaming,1,0,1,0,9,3,1,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Haven,MIBR,9,3,1,0,1,0,1,0
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,Bilibili Gaming,5,0,4,0,8,2,2,1
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Corrode,MIBR,8,2,2,1,5,0,4,0
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Ascent,Rex Regum Qeon,4,1,2,3,8,2,3,0
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Ascent,FNATIC,8,2,3,0,4,1,2,3
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Abyss,Rex Regum Qeon,5,2,0,0,7,1,5,0
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Abyss,FNATIC,7,1,5,0,5,2,0,0
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Ascent,Paper Rex,8,0,2,1,10,1,2,0
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Ascent,GIANTX,10,1,2,0,8,0,2,1
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Lotus,Paper Rex,10,2,1,0,4,2,2,2
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Lotus,GIANTX,4,2,2,2,10,2,1,0
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Sunset,Paper Rex,10,1,2,0,3,0,1,2
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Sunset,GIANTX,3,0,1,2,10,1,2,0
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Haven,DRX,11,1,1,0,2,0,2,0
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Haven,Mega Minors,2,0,2,0,11,1,1,0
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Corrode,DRX,7,3,1,0,9,3,1,0
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Corrode,Mega Minors,9,3,1,0,7,3,1,0
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Lotus,DRX,8,1,2,0,7,2,4,0
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,Lotus,Mega Minors,7,2,4,0,8,1,2,0
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Lotus,Team Heretics,8,0,5,0,8,0,2,0
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Lotus,T1,8,0,2,0,8,0,5,0
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Sunset,Team Heretics,8,2,2,1,8,2,0,1
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Sunset,T1,8,2,0,1,8,2,2,1
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,Bind,MIBR,8,2,2,1,3,0,2,0
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,Bind,FNATIC,3,0,2,0,8,2,2,1
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,Abyss,MIBR,6,1,0,0,10,1,1,1
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,Abyss,FNATIC,10,1,1,1,6,1,0,0
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,Haven,MIBR,5,2,0,3,10,2,0,1
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,Haven,FNATIC,10,2,0,1,5,2,0,3
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Sunset,Team Liquid,2,0,1,0,9,0,3,1
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Sunset,EDward Gaming,9,0,3,1,2,0,1,0
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Abyss,Team Liquid,10,2,1,0,3,0,3,0
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Abyss,EDward Gaming,3,0,3,0,10,2,1,0
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Bind,Team Liquid,11,2,2,0,9,1,3,0
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Bind,EDward Gaming,9,1,3,0,11,2,2,0
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Abyss,Xi Lai Gaming,6,1,3,0,6,3,4,0
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Abyss,Sentinels,6,3,4,0,6,1,3,0
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Lotus,Xi Lai Gaming,6,3,3,1,7,2,2,0
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Lotus,Sentinels,7,2,2,0,6,3,3,1
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Haven,Xi Lai Gaming,9,2,2,0,6,0,1,1
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Haven,Sentinels,6,0,1,1,9,2,2,0
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Sunset,Bilibili Gaming,9,2,2,0,4,1,2,0
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Sunset,Rex Regum Qeon,4,1,2,0,9,2,2,0
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Lotus,Bilibili Gaming,7,0,1,0,7,2,4,0
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Lotus,Rex Regum Qeon,7,2,4,0,7,0,1,0
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Abyss,Bilibili Gaming,3,0,1,0,6,3,3,1
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Abyss,Rex Regum Qeon,6,3,3,1,3,0,1,0
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Lotus,G2 Esports,8,2,3,0,1,0,6,0
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Lotus,Dragon Ranger Gaming,1,0,6,0,8,2,3,0
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Abyss,G2 Esports,6,1,5,1,5,1,1,0
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,Abyss,Dragon Ranger Gaming,5,1,1,0,6,1,5,1
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Corrode,DRX,6,2,4,1,3,4,1,0
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Corrode,Team Liquid,3,4,1,0,6,2,4,1
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Abyss,DRX,8,1,4,0,5,1,0,1
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,Abyss,Team Liquid,5,1,0,1,8,1,4,0
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Bind,GIANTX,8,3,3,0,9,0,3,0
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Bind,Xi Lai Gaming,9,0,3,0,8,3,3,0
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Ascent,GIANTX,9,2,2,0,9,1,0,0
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,Ascent,Xi Lai Gaming,9,1,0,0,9,2,2,0
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,Lotus,T1,7,1,1,0,7,2,3,1
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,Lotus,G2 Esports,7,2,3,1,7,1,1,0
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,Corrode,T1,7,1,0,0,7,2,4,0
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,Corrode,G2 Esports,7,2,4,0,7,1,0,0
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Corrode,MIBR,7,4,2,0,1,1,3,0
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Corrode,Rex Regum Qeon,1,1,3,0,7,4,2,0
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Abyss,MIBR,5,1,6,1,3,1,1,0
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,Abyss,Rex Regum Qeon,3,1,1,0,5,1,6,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Lotus,Paper Rex,9,2,2,0,6,2,2,1
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Lotus,G2 Esports,6,2,2,1,9,2,2,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Corrode,Paper Rex,11,0,2,0,10,1,4,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Corrode,G2 Esports,10,1,4,0,11,0,2,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Ascent,Paper Rex,11,0,2,0,4,5,2,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Ascent,G2 Esports,4,5,2,0,11,0,2,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Haven,FNATIC,9,3,1,0,4,6,1,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Haven,DRX,4,6,1,0,9,3,1,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,FNATIC,8,0,0,0,5,5,1,2
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Ascent,DRX,5,5,1,2,8,0,0,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,FNATIC,7,3,3,0,4,0,1,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,Lotus,DRX,4,0,1,0,7,3,3,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,Team Heretics,5,5,2,0,8,3,3,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Corrode,MIBR,8,3,3,0,5,5,2,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,Team Heretics,1,2,3,0,10,0,3,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Sunset,MIBR,10,0,3,0,1,2,3,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,Mega Minors,9,3,1,0,0,0,1,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Haven,GIANTX,0,0,1,0,9,3,1,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,Mega Minors,7,4,1,1,5,0,1,0
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,Lotus,GIANTX,5,0,1,0,7,4,1,1
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,DRX,6,0,1,0,5,4,4,0
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Lotus,G2 Esports,5,4,4,0,6,0,1,0
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Abyss,DRX,10,1,2,0,4,3,2,1
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Abyss,G2 Esports,4,3,2,1,10,1,2,0
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Bind,DRX,7,1,3,2,3,1,1,2
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,Bind,G2 Esports,3,1,1,2,7,1,3,2
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Ascent,Team Heretics,13,0,0,0,3,1,0,0
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Ascent,GIANTX,3,1,0,0,13,0,0,0
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Lotus,Team Heretics,0,0,3,0,9,3,1,0
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Lotus,GIANTX,9,3,1,0,0,0,3,0
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Bind,Team Heretics,5,1,7,0,5,0,4,0
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Bind,GIANTX,5,0,4,0,5,1,7,0
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Bind,FNATIC,8,0,2,0,8,0,3,2
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Bind,Paper Rex,8,0,3,2,8,0,2,0
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Haven,FNATIC,9,3,1,0,1,0,2,1
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Haven,Paper Rex,1,0,2,1,9,3,1,0
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Lotus,FNATIC,5,0,8,0,5,0,3,1
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,Lotus,Paper Rex,5,0,3,1,5,0,8,0
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Abyss,MIBR,11,0,2,1,5,4,6,1
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Abyss,Mega Minors,5,4,6,1,11,0,2,1
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Haven,MIBR,8,1,4,0,2,1,1,0
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Haven,Mega Minors,2,1,1,0,8,1,4,0
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Corrode,MIBR,7,3,3,1,10,1,4,1
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,Corrode,Mega Minors,10,1,4,1,7,3,3,1
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Ascent,Paper Rex,11,0,1,1,7,2,2,0
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Ascent,Team Heretics,7,2,2,0,11,0,1,1
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Bind,Paper Rex,8,0,1,0,6,3,4,0
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Bind,Team Heretics,6,3,4,0,8,0,1,0
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Lotus,Paper Rex,8,2,3,0,2,0,2,0
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Lotus,Team Heretics,2,0,2,0,8,2,3,0
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Sunset,MIBR,11,1,1,0,7,0,3,0
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Sunset,DRX,7,0,3,0,11,1,1,0
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Ascent,MIBR,9,2,1,1,13,2,0,0
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Ascent,DRX,13,2,0,0,9,2,1,1
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Bind,MIBR,5,2,2,1,7,2,3,1
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,Bind,DRX,7,2,3,1,5,2,2,1
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Ascent,FNATIC,6,1,4,1,8,2,0,4
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Ascent,Mega Minors,8,2,0,4,6,1,4,1
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Abyss,FNATIC,4,0,1,0,11,2,0,0
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,Abyss,Mega Minors,11,2,0,0,4,0,1,0
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Ascent,DRX,12,1,1,1,13,0,0,0
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Ascent,Paper Rex,13,0,0,0,12,1,1,1
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,DRX,11,0,2,0,3,2,2,1
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,Lotus,Paper Rex,3,2,2,1,11,0,2,0
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Sunset,FNATIC,5,1,2,0,9,2,2,0
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Sunset,DRX,9,2,2,0,5,1,2,0
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Corrode,FNATIC,10,2,1,0,3,0,0,0
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Corrode,DRX,3,0,0,0,10,2,1,0
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Haven,FNATIC,7,3,3,0,6,3,0,2
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Haven,DRX,6,3,0,2,7,3,3,0
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Bind,FNATIC,9,3,1,0,4,0,0,0
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,Bind,DRX,4,0,0,0,9,3,1,0
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Corrode,Mega Minors,8,0,5,0,3,0,0,0
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Corrode,FNATIC,3,0,0,0,8,0,5,0
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Lotus,Mega Minors,9,2,1,1,4,1,1,0
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Lotus,FNATIC,4,1,1,0,9,2,1,1
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Abyss,Mega Minors,8,0,4,1,7,0,7,1
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Abyss,FNATIC,7,0,7,1,8,0,4,1
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Ascent,Mega Minors,6,0,2,0,6,3,3,1
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Ascent,FNATIC,6,3,3,1,6,0,2,0
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Sunset,Mega Minors,7,3,3,0,2,1,2,0
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,Sunset,FNATIC,2,1,2,0,7,3,3,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Haven,Cloud9,7,4,2,0,0,0,1,4
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Haven,FURIA,0,0,1,4,7,4,2,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Bind,Cloud9,10,0,2,1,2,1,1,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Cloud9 vs FURIA,Bind,FURIA,2,1,1,0,10,0,2,1
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Bind,LEVIATÁN,5,4,3,1,6,3,1,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Bind,LOUD,6,3,1,0,5,4,3,1
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Ascent,LEVIATÁN,9,1,0,0,9,2,1,1
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Ascent,LOUD,9,2,1,1,9,1,0,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Icebox,LEVIATÁN,6,1,3,1,8,0,3,2
VCT 2025: Americas Stage 2,Group Stage,Week 1,LEVIATÁN vs LOUD,Icebox,LOUD,8,0,3,2,6,1,3,1
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Sunset,Evil Geniuses,6,1,0,0,11,1,1,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Sunset,2Game Esports,11,1,1,0,6,1,0,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Lotus,Evil Geniuses,8,1,4,0,7,1,3,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Lotus,2Game Esports,7,1,3,0,8,1,4,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Ascent,Evil Geniuses,5,3,4,1,7,1,0,1
VCT 2025: Americas Stage 2,Group Stage,Week 1,Evil Geniuses vs 2Game Esports,Ascent,2Game Esports,7,1,0,1,5,3,4,1
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Corrode,MIBR,5,2,3,3,5,1,1,2
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Corrode,KRÜ Esports,5,1,1,2,5,2,3,3
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Ascent,MIBR,1,0,0,0,9,0,3,1
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Ascent,KRÜ Esports,9,0,3,1,1,0,0,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Haven,MIBR,7,0,2,0,6,5,2,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,MIBR vs KRÜ Esports,Haven,KRÜ Esports,6,5,2,0,7,0,2,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Bind,100 Thieves,7,1,4,1,6,3,1,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Bind,Mega Minors,6,3,1,0,7,1,4,1
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Sunset,100 Thieves,10,1,2,0,3,1,0,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,100 Thieves vs NRG,Sunset,Mega Minors,3,1,0,0,10,1,2,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Corrode,Sentinels,9,2,2,0,5,2,1,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Corrode,G2 Esports,5,2,1,0,9,2,2,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Ascent,Sentinels,4,1,1,0,7,3,3,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Ascent,G2 Esports,7,3,3,0,4,1,1,0
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Lotus,Sentinels,9,0,5,0,7,0,3,2
VCT 2025: Americas Stage 2,Group Stage,Week 1,Sentinels vs G2 Esports,Lotus,G2 Esports,7,0,3,2,9,0,5,0
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,Ascent,2Game Esports,5,0,3,0,8,3,2,0
VCT 2025: Americas Stage 2,Group Stage,Week 2,2Game Esports vs G2 Esports,Ascent,G2 Esports,8,3,2,0,5,0,3,0
