Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,G2 Esports,Eco (won),3,1
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,G2 Esports,$ (won),0,0
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,G2 Esports,$$ (won),6,3
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,G2 Esports,$$$ (won),15,9
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,Mega Minors,Pistol Won,,1
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,Mega Minors,Eco (won),4,1
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,Mega Minors,$ (won),0,0
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,Mega Minors,$$ (won),5,2
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Bind,Mega Minors,$$$ (won),15,8
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,G2 Esports,Pistol Won,,2
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,G2 Esports,Eco (won),2,2
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,G2 Esports,$ (won),1,0
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,G2 Esports,$$ (won),5,4
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,G2 Esports,$$$ (won),13,7
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,Mega Minors,Pistol Won,,0
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,Mega Minors,Eco (won),4,0
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,Mega Minors,$ (won),2,0
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,Mega Minors,$$ (won),2,1
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Lotus,Mega Minors,$$$ (won),13,7
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent,G2 Esports,Pistol Won,,0
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent,G2 Esports,Eco (won),4,0
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent,G2 Esports,$ (won),1,1
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent,G2 Esports,$$ (won),2,1
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent,G2 Esports,$$$ (won),16,11
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent,Mega Minors,Pistol Won,,2
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent,Mega Minors,Eco (won),2,2
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent,Mega Minors,$ (won),3,0
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent,Mega Minors,$$ (won),8,4
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,Ascent,Mega Minors,$$$ (won),10,4
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,G2 Esports,Pistol Won,,3
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,G2 Esports,Eco (won),9,3
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,G2 Esports,$ (won),2,1
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,G2 Esports,$$ (won),13,8
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,G2 Esports,$$$ (won),44,27
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,Mega Minors,Pistol Won,,3
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,Mega Minors,Eco (won),10,3
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,Mega Minors,$ (won),5,0
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,Mega Minors,$$ (won),15,7
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,All Maps,Mega Minors,$$$ (won),38,19
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox,Natus Vincere,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox,Natus Vincere,Eco (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox,Natus Vincere,$ (won),1,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox,Natus Vincere,$$ (won),2,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox,Natus Vincere,$$$ (won),11,10
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox,Apeks,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox,Apeks,Eco (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox,Apeks,$ (won),2,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox,Apeks,$$ (won),8,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Icebox,Apeks,$$$ (won),4,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Natus Vincere,Pistol Won,,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Natus Vincere,Eco (won),4,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Natus Vincere,$ (won),1,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Natus Vincere,$$ (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Natus Vincere,$$$ (won),11,5
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Apeks,Pistol Won,,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Apeks,Eco (won),2,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Apeks,$ (won),1,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Apeks,$$ (won),6,5
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Sunset,Apeks,$$$ (won),10,5
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Natus Vincere,Pistol Won,,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Natus Vincere,Eco (won),2,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Natus Vincere,$ (won),0,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Natus Vincere,$$ (won),3,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Natus Vincere,$$$ (won),11,8
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Apeks,Pistol Won,,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Apeks,Eco (won),4,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Apeks,$ (won),2,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Apeks,$$ (won),6,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,Corrode,Apeks,$$$ (won),4,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Natus Vincere,Pistol Won,,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Natus Vincere,Eco (won),9,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Natus Vincere,$ (won),2,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Natus Vincere,$$ (won),8,5
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Natus Vincere,$$$ (won),33,23
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Apeks,Pistol Won,,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Apeks,Eco (won),9,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Apeks,$ (won),5,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Apeks,$$ (won),20,9
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Natus Vincere vs Apeks,All Maps,Apeks,$$$ (won),18,7
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,Team Vitality,Pistol Won,,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,Team Vitality,Eco (won),2,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,Team Vitality,$ (won),2,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,Team Vitality,$$ (won),6,5
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,Team Vitality,$$$ (won),13,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,GIANTX,Pistol Won,,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,GIANTX,Eco (won),4,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,GIANTX,$ (won),1,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,GIANTX,$$ (won),1,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Sunset,GIANTX,$$$ (won),17,11
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,Team Vitality,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,Team Vitality,Eco (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,Team Vitality,$ (won),1,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,Team Vitality,$$ (won),4,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,Team Vitality,$$$ (won),16,8
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,GIANTX,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,GIANTX,Eco (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,GIANTX,$ (won),1,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,GIANTX,$$ (won),10,5
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,Bind,GIANTX,$$$ (won),10,6
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,Team Vitality,Pistol Won,,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,Team Vitality,Eco (won),5,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,Team Vitality,$ (won),3,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,Team Vitality,$$ (won),10,7
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,Team Vitality,$$$ (won),29,11
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,GIANTX,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,GIANTX,Eco (won),7,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,GIANTX,$ (won),2,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,GIANTX,$$ (won),11,6
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Vitality vs GIANTX,All Maps,GIANTX,$$$ (won),27,17
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,FUT Esports,Pistol Won,,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,FUT Esports,Eco (won),4,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,FUT Esports,$ (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,FUT Esports,$$ (won),1,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,FUT Esports,$$$ (won),12,5
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,Gentle Mates,Pistol Won,,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,Gentle Mates,Eco (won),2,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,Gentle Mates,$ (won),1,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,Gentle Mates,$$ (won),5,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Bind,Gentle Mates,$$$ (won),12,8
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,FUT Esports,Pistol Won,,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,FUT Esports,Eco (won),2,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,FUT Esports,$ (won),1,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,FUT Esports,$$ (won),5,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,FUT Esports,$$$ (won),10,8
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,Gentle Mates,Pistol Won,,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,Gentle Mates,Eco (won),3,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,Gentle Mates,$ (won),2,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,Gentle Mates,$$ (won),4,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Sunset,Gentle Mates,$$$ (won),9,5
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,FUT Esports,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,FUT Esports,Eco (won),5,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,FUT Esports,$ (won),1,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,FUT Esports,$$ (won),5,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,FUT Esports,$$$ (won),19,13
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,Gentle Mates,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,Gentle Mates,Eco (won),4,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,Gentle Mates,$ (won),0,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,Gentle Mates,$$ (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,Lotus,Gentle Mates,$$$ (won),23,11
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,FUT Esports,Pistol Won,,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,FUT Esports,Eco (won),11,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,FUT Esports,$ (won),5,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,FUT Esports,$$ (won),11,6
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,FUT Esports,$$$ (won),41,26
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,Gentle Mates,Pistol Won,,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,Gentle Mates,Eco (won),9,4
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,Gentle Mates,$ (won),3,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,Gentle Mates,$$ (won),12,4
VCT 2025: EMEA Stage 2,Group Stage,Week 1,FUT Esports vs Gentle Mates,All Maps,Gentle Mates,$$$ (won),44,24
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,Team Liquid,Pistol Won,,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,Team Liquid,Eco (won),2,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,Team Liquid,$ (won),0,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,Team Liquid,$$ (won),4,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,Team Liquid,$$$ (won),11,8
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,KOI,Pistol Won,,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,KOI,Eco (won),5,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,KOI,$ (won),2,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,KOI,$$ (won),4,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Bind,KOI,$$$ (won),6,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,Team Liquid,Pistol Won,,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,Team Liquid,Eco (won),3,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,Team Liquid,$ (won),2,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,Team Liquid,$$ (won),9,5
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,Team Liquid,$$$ (won),9,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,KOI,Pistol Won,,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,KOI,Eco (won),4,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,KOI,$ (won),1,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,KOI,$$ (won),2,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Icebox,KOI,$$$ (won),16,10
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,Team Liquid,Pistol Won,,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,Team Liquid,Eco (won),4,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,Team Liquid,$ (won),1,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,Team Liquid,$$ (won),3,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,Team Liquid,$$$ (won),13,10
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,KOI,Pistol Won,,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,KOI,Eco (won),3,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,KOI,$ (won),0,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,KOI,$$ (won),10,4
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,Lotus,KOI,$$$ (won),8,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,All Maps,Team Liquid,Pistol Won,,4
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,All Maps,Team Liquid,Eco (won),9,4
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,All Maps,Team Liquid,$ (won),3,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,All Maps,Team Liquid,$$ (won),16,11
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,All Maps,Team Liquid,$$$ (won),33,21
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,All Maps,KOI,Pistol Won,,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,All Maps,KOI,Eco (won),12,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,All Maps,KOI,$ (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,All Maps,KOI,$$ (won),16,6
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Liquid vs KOI,All Maps,KOI,$$$ (won),30,15
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,Team Heretics,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,Team Heretics,Eco (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,Team Heretics,$ (won),1,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,Team Heretics,$$ (won),6,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,Team Heretics,$$$ (won),8,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,BBL Esports,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,BBL Esports,Eco (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,BBL Esports,$ (won),1,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,BBL Esports,$$ (won),3,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Icebox,BBL Esports,$$$ (won),11,10
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,Team Heretics,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,Team Heretics,Eco (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,Team Heretics,$ (won),3,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,Team Heretics,$$ (won),4,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,Team Heretics,$$$ (won),12,8
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,BBL Esports,Pistol Won,,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,BBL Esports,Eco (won),3,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,BBL Esports,$ (won),2,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,BBL Esports,$$ (won),7,4
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Haven,BBL Esports,$$$ (won),10,4
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,Team Heretics,Pistol Won,,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,Team Heretics,Eco (won),2,2
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,Team Heretics,$ (won),1,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,Team Heretics,$$ (won),7,5
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,Team Heretics,$$$ (won),14,6
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,BBL Esports,Pistol Won,,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,BBL Esports,Eco (won),4,0
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,BBL Esports,$ (won),1,1
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,BBL Esports,$$ (won),6,3
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,Sunset,BBL Esports,$$$ (won),13,7
VCT 2025: EMEA Stage 2,Group Stage,Week 1,Team Heretics vs BBL Esports,All Maps,Team Heretics,Pistol Won,,4
