Tournament,Stage,Match Type,Match Name,Map,Team,Type,Initiated,Won
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,$$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,$$$ (won),12,11
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,Eco (won),3,2
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,$ (won),0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,$$ (won),11,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,$$$ (won),3,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,Eco (won),3,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,$$ (won),4,3
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,$$$ (won),14,9
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,Eco (won),3,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,$$ (won),6,3
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,$$$ (won),12,5
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,Pistol Won,,3
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,Eco (won),10,4
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,$ (won),3,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,$$ (won),9,4
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,$$$ (won),36,24
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,Pistol Won,,3
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,Eco (won),9,4
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,$$ (won),19,6
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,$$$ (won),29,16
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,Pistol Won,,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,Eco (won),4,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,$$ (won),7,3
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,$$$ (won),20,14
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,Pistol Won,,2
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,Eco (won),3,2
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,$$ (won),5,2
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,$$$ (won),23,11
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,Eco (won),3,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,$$ (won),5,2
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,$$$ (won),15,10
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,Eco (won),3,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,$ (won),1,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,$$ (won),5,2
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,$$$ (won),15,8
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,Mega Minors,Pistol Won,,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,Mega Minors,Eco (won),7,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,Mega Minors,$ (won),2,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,Mega Minors,$$ (won),12,5
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,Mega Minors,$$$ (won),35,24
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,EDward Gaming,Pistol Won,,3
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,EDward Gaming,Eco (won),6,3
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,EDward Gaming,$ (won),2,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,EDward Gaming,$$ (won),10,4
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,EDward Gaming,$$$ (won),38,19
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,Pistol Won,,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,Eco (won),4,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,$ (won),1,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,$$ (won),6,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,$$$ (won),10,7
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,Pistol Won,,2
