Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,4,Paper Rex,,4.4k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,5,Team Heretics,,8.7k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,5,Paper Rex,,5.4k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,6,Team Heretics,,1.8k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,6,Paper Rex,,18.3k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,7,Team Heretics,,11.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,7,Paper Rex,,9.0k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,8,Team Heretics,,16.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,8,Paper Rex,,3.9k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,9,Team Heretics,,27.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,9,Paper Rex,,9.0k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,10,Team Heretics,,37.1k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,10,Paper Rex,,2.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,11,Team Heretics,,20.5k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Icebox,11,Paper Rex,,6.1k,Full buy: 20k+,Loss
