Tournament,Stage,Match Type,Match Name,Map,Round Number,Team,Loadout Value,Remaining Credits,Type,Outcome
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,9,Rex Regum Qeon,,13.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,9,FNATIC,,3.2k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,10,Rex Regum Qeon,,22.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,10,FNATIC,,7.4k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,11,Rex Regum Qeon,,31.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,11,FNATIC,,2.0k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,12,Rex Regum Qeon,,27.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,12,FNATIC,,0.3k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,13,Rex Regum Qeon,,0.2k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,13,FNATIC,,0.3k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,14,Rex Regum Qeon,,8.1k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,14,FNATIC,,3.8k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,15,Rex Regum Qeon,,0.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,15,FNATIC,,12.2k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,16,Rex Regum Qeon,,2.1k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,16,FNATIC,,18.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,17,Rex Regum Qeon,,10.7k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,17,FNATIC,,27.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,18,Rex Regum Qeon,,1.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,18,FNATIC,,40.3k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,19,Rex Regum Qeon,,6.4k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Haven,19,FNATIC,,26.5k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,1,Rex Regum Qeon,,0.1k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,1,FNATIC,,0.1k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,2,Rex Regum Qeon,,8.7k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,2,FNATIC,,6.1k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,3,Rex Regum Qeon,,0.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,3,FNATIC,,13.0k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,4,Rex Regum Qeon,,3.1k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,4,FNATIC,,5.2k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,5,Rex Regum Qeon,,9.5k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,5,FNATIC,,15.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,6,Rex Regum Qeon,,1.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,6,FNATIC,,20.9k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,7,Rex Regum Qeon,,8.4k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,7,FNATIC,,19.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,8,Rex Regum Qeon,,1.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,8,FNATIC,,24.8k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,9,Rex Regum Qeon,,6.4k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,9,FNATIC,,10.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,10,Rex Regum Qeon,,8.3k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,10,FNATIC,,17.9k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,11,Rex Regum Qeon,,0.5k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,11,FNATIC,,21.6k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,12,Rex Regum Qeon,,6.3k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,12,FNATIC,,12.0k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,13,Rex Regum Qeon,,0.2k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,13,FNATIC,,0.2k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,14,Rex Regum Qeon,,4.7k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,14,FNATIC,,8.8k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,15,Rex Regum Qeon,,12.2k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,15,FNATIC,,1.0k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,16,Rex Regum Qeon,,1.0k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,16,FNATIC,,8.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,17,Rex Regum Qeon,,7.6k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,17,FNATIC,,12.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,18,Rex Regum Qeon,,0.4k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Ascent,18,FNATIC,,11.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,1,Wolves Esports,,0.2k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,1,Gen.G,,0.3k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,2,Wolves Esports,,9.8k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,2,Gen.G,,3.8k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,3,Wolves Esports,,0.4k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,3,Gen.G,,11.7k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,4,Wolves Esports,,2.2k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,4,Gen.G,,16.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,5,Wolves Esports,,11.2k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,5,Gen.G,,17.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,6,Wolves Esports,,4.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,6,Gen.G,,21.8k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,7,Wolves Esports,,1.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,7,Gen.G,,17.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,8,Wolves Esports,,10.3k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,8,Gen.G,,4.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,9,Wolves Esports,,2.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,9,Gen.G,,12.0k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,10,Wolves Esports,,0.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,10,Gen.G,,3.4k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,11,Wolves Esports,,8.6k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,11,Gen.G,,4.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,12,Wolves Esports,,0.4k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,12,Gen.G,,4.0k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,13,Wolves Esports,,0.2k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,13,Gen.G,,0.4k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,14,Wolves Esports,,1.7k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,14,Gen.G,,6.7k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,15,Wolves Esports,,10.9k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,15,Gen.G,,0.5k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,16,Wolves Esports,,0.6k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,16,Gen.G,,10.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,17,Wolves Esports,,8.2k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,17,Gen.G,,4.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,18,Wolves Esports,,1.2k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,18,Gen.G,,3.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,19,Wolves Esports,,7.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,19,Gen.G,,7.9k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,20,Wolves Esports,,18.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,20,Gen.G,,1.1k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,21,Wolves Esports,,28.9k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,21,Gen.G,,5.1k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,22,Wolves Esports,,33.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,22,Gen.G,,2.4k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,23,Wolves Esports,,41.8k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,23,Gen.G,,3.4k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,24,Wolves Esports,,19.8k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Split,24,Gen.G,,0.5k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,1,Wolves Esports,,0.1k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,1,Gen.G,,0.0k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,2,Wolves Esports,,9.3k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,2,Gen.G,,4.8k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,3,Wolves Esports,,0.5k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,3,Gen.G,,13.9k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,4,Wolves Esports,,10.5k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,4,Gen.G,,17.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,5,Wolves Esports,,3.6k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,5,Gen.G,,27.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,6,Wolves Esports,,7.5k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,6,Gen.G,,16.4k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,7,Wolves Esports,,11.5k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,7,Gen.G,,18.0k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,8,Wolves Esports,,1.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,8,Gen.G,,26.8k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,9,Wolves Esports,,2.9k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,9,Gen.G,,16.2k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,10,Wolves Esports,,9.7k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,10,Gen.G,,7.9k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,11,Wolves Esports,,1.9k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,11,Gen.G,,17.5k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,12,Wolves Esports,,7.0k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,12,Gen.G,,4.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,13,Wolves Esports,,0.1k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,13,Gen.G,,0.0k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,14,Wolves Esports,,1.8k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,14,Gen.G,,6.6k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,15,Wolves Esports,,9.6k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,15,Gen.G,,7.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,16,Wolves Esports,,4.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,16,Gen.G,,11.2k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,17,Wolves Esports,,6.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,17,Gen.G,,2.4k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,18,Wolves Esports,,15.9k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,18,Gen.G,,7.8k,Semi-eco: 5-10k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,19,Wolves Esports,,25.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,19,Gen.G,,2.5k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,20,Wolves Esports,,25.3k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,20,Gen.G,,8.9k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,21,Wolves Esports,,24.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,21,Gen.G,,2.4k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,22,Wolves Esports,,24.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Sunset,22,Gen.G,,0.4k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,1,Sentinels,,0.6k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,1,Paper Rex,,0.5k,Eco: 0-5k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,2,Sentinels,,8.5k,Eco: 0-5k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,2,Paper Rex,,4.7k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,3,Sentinels,,1.7k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,3,Paper Rex,,10.6k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,4,Sentinels,,7.5k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,4,Paper Rex,,9.2k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,5,Sentinels,,1.9k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,5,Paper Rex,,12.8k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,6,Sentinels,,8.3k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,6,Paper Rex,,14.9k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,7,Sentinels,,3.7k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,7,Paper Rex,,8.4k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,8,Sentinels,,7.1k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,8,Paper Rex,,1.6k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,9,Sentinels,,11.1k,Semi-eco: 5-10k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,9,Paper Rex,,9.2k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,10,Sentinels,,10.3k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,10,Paper Rex,,2.6k,Semi-buy: 10-20k,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,11,Sentinels,,7.8k,Semi-buy: 10-20k,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,11,Paper Rex,,5.5k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,12,Sentinels,,0.7k,Full buy: 20k+,Loss
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,12,Paper Rex,,5.1k,Full buy: 20k+,Win
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Split,13,Sentinels,,0.6k,Eco: 0-5k,Loss
