Tournament,Stage,Match Type,Match Name,Map,Team,Player,Agents,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Econ,Spike Plants,Spike Defuses
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,Jinggg,raze,8,5,,,,,,,,73,0,2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,f0rsakeN,"brimstone, omen",5,1,3,,,1,,,,66,1,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,d4v41,"sage, viper",2,2,,,3,,,,,43,5,3
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,PatMen,"fade, viper",4,,,,,,,,,36,4,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Paper Rex,something,"sova, yoru",7,1,1,1,1,1,,,,78,1,2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Xi Lai Gaming,NoMan,"neon, skye",10,1,,,,,,,,67,1,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Xi Lai Gaming,coconut,"gekko, omen",7,,,,,,,,,38,9,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Xi Lai Gaming,Rarga,"raze, yoru",6,1,,,,1,,,,48,0,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Xi Lai Gaming,Viva,"brimstone, sova",2,,1,,1,1,,1,,39,6,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,All Maps,Xi Lai Gaming,happywei,"cypher, viper",1,2,,,,,,,,53,1,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,Jinggg,raze,5,3,,,,,,,,89,0,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,f0rsakeN,brimstone,4,1,,,,,,,,67,1,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,d4v41,viper,,1,,,,,,,,53,2,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,PatMen,fade,3,,,,,,,,,45,4,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Paper Rex,something,yoru,5,,1,,,1,,,,68,0,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,NoMan,skye,6,,,,,,,,,50,1,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,coconut,gekko,5,,,,,,,,,39,7,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,Rarga,raze,3,,,,,1,,,,54,0,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,Viva,brimstone,2,,1,,,1,,1,,45,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Bind,Xi Lai Gaming,happywei,viper,,,,,,,,,,34,1,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,Jinggg,raze,3,2,,,,,,,,57,0,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,f0rsakeN,omen,1,,3,,,1,,,,64,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,d4v41,sage,2,1,,,3,,,,,33,3,2
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,PatMen,viper,1,,,,,,,,,26,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Paper Rex,something,sova,2,1,,1,1,,,,,88,1,1
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,NoMan,neon,4,1,,,,,,,,84,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,coconut,omen,2,,,,,,,,,37,2,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,Rarga,yoru,3,1,,,,,,,,41,0,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,Viva,sova,,,,,1,,,,,32,6,0
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Sunset,Xi Lai Gaming,happywei,cypher,1,2,,,,,,,,71,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,Cloud,"fade, sova",13,2,,,,,,,,69,5,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,grubinho,omen,9,2,,,1,,,,,44,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,Flickless,"breach, viper",6,1,,,,1,,,,47,8,3
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,ara,"neon, yoru",9,3,,,,,,,,49,0,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,GIANTX,westside,"cypher, vyse",8,2,,,1,,,,,54,2,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,Zellsis,"breach, killjoy, vyse",4,,,,,,,,,39,0,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,johnqt,"cypher, viper",6,3,,,,,,,,61,5,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,bang,omen,6,,,,,,,,,35,7,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,zekken,neon,5,4,2,,,,1,,,55,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,All Maps,Sentinels,N4RRATE,"fade, sova",8,2,1,,2,,,,,60,7,2
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,Cloud,fade,1,,,,,,,,,41,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,grubinho,omen,3,,,,,,,,,35,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,Flickless,viper,2,,,,,,,,,29,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,ara,yoru,2,1,,,,,,,,45,0,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,GIANTX,westside,vyse,2,1,,,,,,,,37,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,Zellsis,vyse,1,,,,,,,,,39,0,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,johnqt,viper,2,1,,,,,,,,74,2,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,bang,omen,3,,,,,,,,,45,3,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,zekken,neon,2,3,1,,,,,,,66,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Corrode,Sentinels,N4RRATE,fade,4,,1,,1,,,,,77,2,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,Cloud,sova,7,1,,,,,,,,102,3,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,grubinho,omen,2,,,,,,,,,55,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,Flickless,breach,2,1,,,,1,,,,59,1,2
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,ara,neon,2,1,,,,,,,,34,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,GIANTX,westside,cypher,4,1,,,1,,,,,86,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,Zellsis,breach,1,,,,,,,,,39,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,johnqt,cypher,1,2,,,,,,,,55,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,bang,omen,1,,,,,,,,,22,2,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,zekken,neon,1,,,,,,,,,40,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Sunset,Sentinels,N4RRATE,fade,2,1,,,1,,,,,58,2,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,Cloud,sova,5,1,,,,,,,,64,2,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,grubinho,omen,4,2,,,1,,,,,41,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,Flickless,breach,2,,,,,,,,,52,7,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,ara,neon,5,1,,,,,,,,67,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,GIANTX,westside,cypher,2,,,,,,,,,39,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,Zellsis,killjoy,2,,,,,,,,,40,0,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,johnqt,viper,3,,,,,,,,,54,3,1
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,bang,omen,2,,,,,,,,,38,2,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,zekken,neon,2,1,1,,,,1,,,60,1,0
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,Haven,Sentinels,N4RRATE,sova,2,1,,,,,,,,46,3,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,Mega Minors,brawk,sova,6,2,,,,,,,,49,8,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,Mega Minors,s0m,"harbor, omen",10,,1,,1,,,,,48,10,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,Mega Minors,mada,"waylay, yoru",7,4,1,,,1,,,,44,2,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,Mega Minors,skuba,"viper, vyse",5,3,2,,2,1,,,,57,1,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,Mega Minors,Ethan,"kayo, omen",6,2,1,,1,,,,,55,4,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,EDward Gaming,nobody,"fade, sova",6,1,,,1,,,,,46,9,3
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,EDward Gaming,ZmjjKK,yoru,10,4,,,,,,,,55,2,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,EDward Gaming,Smoggy,omen,10,5,,,,1,1,,,49,4,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,EDward Gaming,CHICHOO,"sage, viper",7,,,,,,,,,44,7,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,All Maps,EDward Gaming,Jieni7,neon,5,3,,,,,,,,34,1,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,brawk,sova,5,1,,,,,,,,50,3,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,s0m,harbor,3,,1,,,,,,,35,10,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,mada,yoru,5,4,,,,1,,,,52,0,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,skuba,vyse,2,2,1,,1,,,,,45,1,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,Mega Minors,Ethan,omen,4,1,,,,,,,,49,2,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,nobody,sova,3,1,,,,,,,,43,5,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,ZmjjKK,yoru,4,2,,,,,,,,44,1,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,Smoggy,omen,4,3,,,,1,1,,,44,1,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,CHICHOO,sage,5,,,,,,,,,41,5,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Abyss,EDward Gaming,Jieni7,neon,4,3,,,,,,,,36,1,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,brawk,sova,1,1,,,,,,,,47,5,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,s0m,omen,7,,,,1,,,,,60,0,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,mada,waylay,2,,1,,,,,,,35,2,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,skuba,viper,3,1,1,,1,1,,,,68,0,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,Mega Minors,Ethan,kayo,2,1,1,,1,,,,,60,2,1
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,nobody,fade,3,,,,1,,,,,49,4,2
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,ZmjjKK,yoru,6,2,,,,,,,,66,1,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,Smoggy,omen,6,2,,,,,,,,54,3,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,CHICHOO,viper,2,,,,,,,,,46,2,0
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,Corrode,EDward Gaming,Jieni7,neon,1,,,,,,,,,31,0,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,Team Liquid,paTiTek,"kayo, skye",4,1,,,1,,,,,44,0,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,Team Liquid,nAts,"cypher, viper",1,2,,,,,,,,39,1,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,Team Liquid,trexx,"gekko, sova",2,3,,,,,,,,39,8,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,Team Liquid,keiko,"brimstone, omen",6,1,1,,1,1,,,,51,1,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,Team Liquid,kamo,"jett, raze",4,4,,,,,,,,57,1,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,DRX,free1ng,"cypher, viper",3,1,,,,,,,,44,0,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,DRX,MaKo,"brimstone, omen",7,3,,,,2,,,,68,8,3
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,DRX,BeYN,"fade, sova",3,1,1,,1,,,,,50,8,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,DRX,HYUNMIN,waylay,5,1,,,,,,,,44,2,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,All Maps,DRX,Flashback,yoru,6,4,,,,,,,,51,1,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,paTiTek,kayo,1,1,,,,,,,,50,0,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,nAts,cypher,,,,,,,,,,18,1,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,trexx,sova,2,2,,,,,,,,47,4,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,keiko,omen,4,1,,,1,,,,,54,0,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,Team Liquid,kamo,jett,2,2,,,,,,,,71,0,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,free1ng,cypher,2,,,,,,,,,44,0,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,MaKo,omen,5,1,,,,1,,,,74,3,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,BeYN,sova,1,,,,1,,,,,41,4,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,HYUNMIN,waylay,3,,,,,,,,,39,2,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Abyss,DRX,Flashback,yoru,5,2,,,,,,,,55,1,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,paTiTek,skye,3,,,,1,,,,,38,0,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,nAts,viper,1,2,,,,,,,,59,0,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,trexx,gekko,,1,,,,,,,,31,4,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,keiko,brimstone,2,,1,,,1,,,,48,1,1
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,Team Liquid,kamo,raze,2,2,,,,,,,,42,1,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,free1ng,viper,1,1,,,,,,,,44,0,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,MaKo,brimstone,2,2,,,,1,,,,61,5,2
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,BeYN,fade,2,1,1,,,,,,,59,4,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,HYUNMIN,waylay,2,1,,,,,,,,48,0,0
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Bind,DRX,Flashback,yoru,1,2,,,,,,,,47,0,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,Dragon Ranger Gaming,Flex1n,omen,5,1,,,,,,,,37,6,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,Dragon Ranger Gaming,Nicc,"breach, fade",9,3,,,,,,,,49,10,3
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,Dragon Ranger Gaming,Demon1,"cypher, vyse",9,1,,,1,,,,,45,3,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,Dragon Ranger Gaming,SpiritZ1,yoru,8,3,1,,,,,,,57,0,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,Dragon Ranger Gaming,Akeman,"neon, waylay",8,1,1,,1,1,,,,38,0,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,T1,stax,"fade, sova",5,1,,,,,,,,39,13,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,T1,BuZz,neon,11,4,,,3,,,,,52,1,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,T1,Meteor,"cypher, vyse",7,3,1,,2,,,,,47,3,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,T1,iZu,yoru,10,,,,2,,,,,36,3,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,All Maps,T1,DH,omen,8,3,1,,2,2,,,,46,3,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,Flex1n,omen,2,,,,,,,,,26,2,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,Nicc,breach,5,2,,,,,,,,51,6,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,Demon1,vyse,6,,,,1,,,,,49,3,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,SpiritZ1,yoru,6,1,,,,,,,,65,0,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,Dragon Ranger Gaming,Akeman,waylay,4,1,,,,,,,,33,0,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,stax,fade,2,1,,,,,,,,40,7,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,BuZz,neon,6,,,,1,,,,,50,1,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,Meteor,vyse,4,,,,2,,,,,40,1,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,iZu,yoru,6,,,,,,,,,41,1,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Lotus,T1,DH,omen,5,2,1,,1,2,,,,59,2,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,Flex1n,omen,3,1,,,,,,,,47,4,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,Nicc,fade,4,1,,,,,,,,46,4,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,Demon1,cypher,3,1,,,,,,,,40,0,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,SpiritZ1,yoru,2,2,1,,,,,,,48,0,2
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,Dragon Ranger Gaming,Akeman,neon,4,,1,,1,1,,,,42,0,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,stax,sova,3,,,,,,,,,38,6,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,BuZz,neon,5,4,,,2,,,,,54,0,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,Meteor,cypher,3,3,1,,,,,,,54,2,0
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,iZu,yoru,4,,,,2,,,,,30,2,1
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Sunset,T1,DH,omen,3,1,,,1,,,,,33,1,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,G2 Esports,valyn,omen,9,1,1,,,,,,,61,3,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,G2 Esports,jawgemo,"raze, yoru",5,1,,,1,,,,,38,1,3
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,G2 Esports,JonahP,"fade, sage",6,,,,,,,,,31,0,2
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,G2 Esports,leaf,"cypher, viper",6,3,,,,,1,,,58,0,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,G2 Esports,trent,"fade, tejo",4,2,,,,,,,,41,7,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,Team Heretics,Boo,"astra, omen",2,1,,,1,,,,,42,2,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,Team Heretics,RieNs,fade,9,2,,1,,1,,,,61,7,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,Team Heretics,MiniBoo,"raze, yoru",8,2,1,,,,,,,59,2,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,Team Heretics,Wo0t,"chamber, viper",5,2,,,,,,,,50,0,2
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,All Maps,Team Heretics,benjyfishy,"deadlock, vyse",7,,2,,2,,,,,66,5,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,valyn,omen,4,1,,,,,,,,54,1,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,jawgemo,raze,1,,,,,,,,,41,0,2
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,JonahP,sage,4,,,,,,,,,29,0,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,leaf,cypher,2,2,,,,,,,,54,0,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,G2 Esports,trent,fade,,2,,,,,,,,41,2,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,Boo,astra,,,,,,,,,,37,2,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,RieNs,fade,4,1,,1,,,,,,64,1,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,MiniBoo,yoru,3,2,1,,,,,,,57,1,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,Wo0t,viper,,,,,,,,,,27,0,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Corrode,Team Heretics,benjyfishy,vyse,4,,2,,1,,,,,82,3,1
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,G2 Esports,valyn,omen,5,,1,,,,,,,68,2,0
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,Lotus,G2 Esports,jawgemo,yoru,4,1,,,1,,,,,34,1,1
