Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Fracture,Rex Regum Qeon,2,2,0,,Paper Rex,13,3,10,,51:08
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Split,Rex Regum Qeon,14,8,4,2,Paper Rex,12,8,4,0,53:25
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Pearl,Rex Regum Qeon,14,6,6,2,Paper Rex,12,6,6,0,58:35
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Icebox,Rex Regum Qeon,3,3,0,,Paper Rex,13,4,9,,35:20
VCT 2025: Pacific Stage 1,Playoffs,Lower Final,Rex Regum Qeon vs Paper Rex,Ascent,Rex Regum Qeon,13,9,4,,Paper Rex,6,3,3,,43:22
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Haven,Gen.G,13,8,5,,Rex Regum Qeon,8,4,4,,1:13:58
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Ascent,Gen.G,11,2,9,,Rex Regum Qeon,13,3,10,,56:44
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Lotus,Gen.G,9,7,2,,Rex Regum Qeon,13,8,5,,54:30
VCT 2025: Pacific Stage 1,Playoffs,Grand Final,Gen.G vs Rex Regum Qeon,Icebox,Gen.G,11,6,5,,Rex Regum Qeon,13,7,6,,54:26
VCT 2025: China Stage 1,Group Stage,Week 1,Xi Lai Gaming vs Bilibili Gaming,Pearl,Xi Lai Gaming,13,8,5,,Bilibili Gaming,8,4,4,,
VCT 2025: China Stage 1,Group Stage,Week 1,Xi Lai Gaming vs Bilibili Gaming,Icebox,Xi Lai Gaming,9,4,5,,Bilibili Gaming,13,5,8,,
VCT 2025: China Stage 1,Group Stage,Week 1,Xi Lai Gaming vs Bilibili Gaming,Fracture,Xi Lai Gaming,8,3,5,,Bilibili Gaming,13,4,9,,
VCT 2025: China Stage 1,Group Stage,Week 1,Trace Esports vs All Gamers,Pearl,Trace Esports,13,10,3,,All Gamers,11,9,2,,
VCT 2025: China Stage 1,Group Stage,Week 1,Trace Esports vs All Gamers,Lotus,Trace Esports,11,7,4,,All Gamers,13,8,5,,
VCT 2025: China Stage 1,Group Stage,Week 1,Trace Esports vs All Gamers,Split,Trace Esports,13,11,2,,All Gamers,1,0,1,,
VCT 2025: China Stage 1,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,Fracture,Dragon Ranger Gaming,13,9,4,,Nova Esports,6,3,3,,
VCT 2025: China Stage 1,Group Stage,Week 1,Dragon Ranger Gaming vs Nova Esports,Lotus,Dragon Ranger Gaming,13,7,6,,Nova Esports,10,5,5,,
VCT 2025: China Stage 1,Group Stage,Week 1,TYLOO vs EDward Gaming,Fracture,TYLOO,7,4,3,,EDward Gaming,13,5,8,,
VCT 2025: China Stage 1,Group Stage,Week 1,TYLOO vs EDward Gaming,Haven,TYLOO,6,5,1,,EDward Gaming,13,6,7,,
VCT 2025: China Stage 1,Group Stage,Week 1,JDG Esports vs Wolves Esports,Pearl,JDG Esports,9,6,3,,Wolves Esports,13,7,6,,
VCT 2025: China Stage 1,Group Stage,Week 1,JDG Esports vs Wolves Esports,Haven,JDG Esports,11,4,7,,Wolves Esports,13,5,8,,
VCT 2025: China Stage 1,Group Stage,Week 1,FunPlus Phoenix vs Titan Esports Club,Icebox,FunPlus Phoenix,13,10,3,,Titan Esports Club,5,3,2,,
VCT 2025: China Stage 1,Group Stage,Week 1,FunPlus Phoenix vs Titan Esports Club,Haven,FunPlus Phoenix,13,7,6,,Titan Esports Club,6,1,5,,
VCT 2025: China Stage 1,Group Stage,Week 2,Nova Esports vs EDward Gaming,Ascent,Nova Esports,13,6,7,,EDward Gaming,11,5,6,,
VCT 2025: China Stage 1,Group Stage,Week 2,Nova Esports vs EDward Gaming,Fracture,Nova Esports,13,6,7,,EDward Gaming,8,2,6,,
VCT 2025: China Stage 1,Group Stage,Week 2,TYLOO vs FunPlus Phoenix,Pearl,TYLOO,8,6,2,,FunPlus Phoenix,13,7,6,,
VCT 2025: China Stage 1,Group Stage,Week 2,TYLOO vs FunPlus Phoenix,Icebox,TYLOO,13,9,4,,FunPlus Phoenix,6,3,3,,
VCT 2025: China Stage 1,Group Stage,Week 2,TYLOO vs FunPlus Phoenix,Haven,TYLOO,4,3,1,,FunPlus Phoenix,13,4,9,,
VCT 2025: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs All Gamers,Fracture,Xi Lai Gaming,13,8,5,,All Gamers,10,6,4,,
VCT 2025: China Stage 1,Group Stage,Week 2,Xi Lai Gaming vs All Gamers,Lotus,Xi Lai Gaming,13,8,5,,All Gamers,7,3,4,,
VCT 2025: China Stage 1,Group Stage,Week 2,Wolves Esports vs Trace Esports,Fracture,Wolves Esports,15,6,6,3,Trace Esports,13,6,6,1,
VCT 2025: China Stage 1,Group Stage,Week 2,Wolves Esports vs Trace Esports,Pearl,Wolves Esports,13,6,7,,Trace Esports,10,4,6,,
VCT 2025: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Dragon Ranger Gaming,Lotus,Titan Esports Club,11,7,4,,Dragon Ranger Gaming,13,8,5,,1:07:57
VCT 2025: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Dragon Ranger Gaming,Fracture,Titan Esports Club,13,5,8,,Dragon Ranger Gaming,9,2,7,,48:45
VCT 2025: China Stage 1,Group Stage,Week 2,Titan Esports Club vs Dragon Ranger Gaming,Icebox,Titan Esports Club,13,11,2,,Dragon Ranger Gaming,3,2,1,,33:58
VCT 2025: China Stage 1,Group Stage,Week 2,Bilibili Gaming vs JDG Esports,Pearl,Bilibili Gaming,13,6,7,,JDG Esports,10,4,6,,1:07:48
VCT 2025: China Stage 1,Group Stage,Week 2,Bilibili Gaming vs JDG Esports,Icebox,Bilibili Gaming,5,2,3,,JDG Esports,13,3,10,,40:37
VCT 2025: China Stage 1,Group Stage,Week 2,Bilibili Gaming vs JDG Esports,Fracture,Bilibili Gaming,13,4,9,,JDG Esports,8,0,8,,44:08
VCT 2025: China Stage 1,Group Stage,Week 3,JDG Esports vs Trace Esports,Lotus,JDG Esports,7,5,2,,Trace Esports,13,6,7,,1:03:18
VCT 2025: China Stage 1,Group Stage,Week 3,JDG Esports vs Trace Esports,Haven,JDG Esports,11,4,7,,Trace Esports,13,5,8,,56:14
VCT 2025: China Stage 1,Group Stage,Week 3,Wolves Esports vs Xi Lai Gaming,Fracture,Wolves Esports,12,6,6,0,Xi Lai Gaming,14,6,6,2,1:15:46
VCT 2025: China Stage 1,Group Stage,Week 3,Wolves Esports vs Xi Lai Gaming,Icebox,Wolves Esports,10,6,4,,Xi Lai Gaming,13,7,6,,54:55
VCT 2025: China Stage 1,Group Stage,Week 3,TYLOO vs Titan Esports Club,Fracture,TYLOO,13,4,9,,Titan Esports Club,10,2,8,,1:08:08
VCT 2025: China Stage 1,Group Stage,Week 3,TYLOO vs Titan Esports Club,Icebox,TYLOO,8,5,3,,Titan Esports Club,13,6,7,,47:16
VCT 2025: China Stage 1,Group Stage,Week 3,TYLOO vs Titan Esports Club,Split,TYLOO,7,4,3,,Titan Esports Club,13,5,8,,47:07
VCT 2025: China Stage 1,Group Stage,Week 3,Dragon Ranger Gaming vs EDward Gaming,Icebox,Dragon Ranger Gaming,2,2,0,,EDward Gaming,13,3,10,,42:31
VCT 2025: China Stage 1,Group Stage,Week 3,Dragon Ranger Gaming vs EDward Gaming,Ascent,Dragon Ranger Gaming,13,7,6,,EDward Gaming,9,4,5,,44:30
VCT 2025: China Stage 1,Group Stage,Week 3,Dragon Ranger Gaming vs EDward Gaming,Pearl,Dragon Ranger Gaming,10,4,6,,EDward Gaming,13,5,8,,53:15
VCT 2025: China Stage 1,Group Stage,Week 3,Nova Esports vs FunPlus Phoenix,Icebox,Nova Esports,13,5,8,,FunPlus Phoenix,11,4,7,,1:08:15
VCT 2025: China Stage 1,Group Stage,Week 3,Nova Esports vs FunPlus Phoenix,Split,Nova Esports,13,7,6,,FunPlus Phoenix,10,5,5,,51:53
VCT 2025: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,Pearl,All Gamers,4,2,2,,Bilibili Gaming,13,3,10,,51:21
VCT 2025: China Stage 1,Group Stage,Week 3,All Gamers vs Bilibili Gaming,Fracture,All Gamers,5,3,2,,Bilibili Gaming,13,4,9,,34:59
VCT 2025: China Stage 1,Group Stage,Week 4,FunPlus Phoenix vs Dragon Ranger Gaming,Ascent,FunPlus Phoenix,11,7,4,,Dragon Ranger Gaming,13,8,5,,1:07:57
VCT 2025: China Stage 1,Group Stage,Week 4,FunPlus Phoenix vs Dragon Ranger Gaming,Haven,FunPlus Phoenix,5,3,2,,Dragon Ranger Gaming,13,4,9,,37:52
VCT 2025: China Stage 1,Group Stage,Week 4,Bilibili Gaming vs Wolves Esports,Haven,Bilibili Gaming,13,11,2,,Wolves Esports,5,4,1,,40:12
VCT 2025: China Stage 1,Group Stage,Week 4,Bilibili Gaming vs Wolves Esports,Ascent,Bilibili Gaming,13,8,5,,Wolves Esports,4,0,4,,36:21
VCT 2025: China Stage 1,Group Stage,Week 4,Bilibili Gaming vs Wolves Esports,Lotus,Bilibili Gaming,10,3,7,,Wolves Esports,13,4,9,,1:02:00
VCT 2025: China Stage 1,Group Stage,Week 4,All Gamers vs JDG Esports,Split,All Gamers,12,5,7,0,JDG Esports,14,5,7,2,1:18:13
VCT 2025: China Stage 1,Group Stage,Week 4,All Gamers vs JDG Esports,Pearl,All Gamers,4,4,0,,JDG Esports,13,5,8,,42:25
VCT 2025: China Stage 1,Group Stage,Week 4,EDward Gaming vs Titan Esports Club,Lotus,EDward Gaming,8,3,5,,Titan Esports Club,13,4,9,,1:00:07
VCT 2025: China Stage 1,Group Stage,Week 4,EDward Gaming vs Titan Esports Club,Icebox,EDward Gaming,13,7,6,,Titan Esports Club,9,4,5,,46:06
VCT 2025: China Stage 1,Group Stage,Week 4,EDward Gaming vs Titan Esports Club,Haven,EDward Gaming,13,9,4,,Titan Esports Club,5,2,3,,40:48
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,Split,Nova Esports,13,5,8,,TYLOO,11,4,7,,1:11:47
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,Icebox,Nova Esports,3,3,0,,TYLOO,13,4,9,,35:59
VCT 2025: China Stage 1,Group Stage,Week 4,Nova Esports vs TYLOO,Pearl,Nova Esports,13,8,5,,TYLOO,5,1,4,,42:13
VCT 2025: China Stage 1,Group Stage,Week 4,Trace Esports vs Xi Lai Gaming,Split,Trace Esports,7,4,3,,Xi Lai Gaming,13,5,8,,58:11
VCT 2025: China Stage 1,Group Stage,Week 4,Trace Esports vs Xi Lai Gaming,Lotus,Trace Esports,13,7,6,,Xi Lai Gaming,10,5,5,,54:37
VCT 2025: China Stage 1,Group Stage,Week 4,Trace Esports vs Xi Lai Gaming,Pearl,Trace Esports,11,4,7,,Xi Lai Gaming,13,5,8,,1:02:42
VCT 2025: China Stage 1,Group Stage,Week 5,JDG Esports vs Xi Lai Gaming,Lotus,JDG Esports,6,4,2,,Xi Lai Gaming,13,5,8,,1:03:05
VCT 2025: China Stage 1,Group Stage,Week 5,JDG Esports vs Xi Lai Gaming,Fracture,JDG Esports,6,5,1,,Xi Lai Gaming,13,6,7,,
VCT 2025: China Stage 1,Group Stage,Week 5,JDG Esports vs Xi Lai Gaming,Icebox,JDG Esports,13,6,7,,Xi Lai Gaming,11,5,6,,
VCT 2025: China Stage 1,Group Stage,Week 5,Dragon Ranger Gaming vs TYLOO,Haven,Dragon Ranger Gaming,13,5,8,,TYLOO,10,3,7,,1:04:51
VCT 2025: China Stage 1,Group Stage,Week 5,Dragon Ranger Gaming vs TYLOO,Split,Dragon Ranger Gaming,9,6,3,,TYLOO,13,7,6,,50:06
VCT 2025: China Stage 1,Group Stage,Week 5,Dragon Ranger Gaming vs TYLOO,Fracture,Dragon Ranger Gaming,5,3,2,,TYLOO,13,4,9,,41:06
VCT 2025: China Stage 1,Group Stage,Week 5,Wolves Esports vs All Gamers,Pearl,Wolves Esports,13,10,3,,All Gamers,7,5,2,,1:03:01
VCT 2025: China Stage 1,Group Stage,Week 5,Wolves Esports vs All Gamers,Fracture,Wolves Esports,7,5,2,,All Gamers,13,6,7,,
VCT 2025: China Stage 1,Group Stage,Week 5,Wolves Esports vs All Gamers,Lotus,Wolves Esports,13,9,4,,All Gamers,6,3,3,,
VCT 2025: China Stage 1,Group Stage,Week 5,Bilibili Gaming vs Trace Esports,Haven,Bilibili Gaming,4,1,3,,Trace Esports,13,2,11,,
VCT 2025: China Stage 1,Group Stage,Week 5,Bilibili Gaming vs Trace Esports,Ascent,Bilibili Gaming,13,9,4,,Trace Esports,5,2,3,,
VCT 2025: China Stage 1,Group Stage,Week 5,Bilibili Gaming vs Trace Esports,Split,Bilibili Gaming,1,1,0,,Trace Esports,13,2,11,,
VCT 2025: China Stage 1,Group Stage,Week 5,Titan Esports Club vs Nova Esports,Fracture,Titan Esports Club,13,6,7,,Nova Esports,9,3,6,,
VCT 2025: China Stage 1,Group Stage,Week 5,Titan Esports Club vs Nova Esports,Split,Titan Esports Club,13,9,4,,Nova Esports,3,0,3,,
VCT 2025: China Stage 1,Group Stage,Week 5,EDward Gaming vs FunPlus Phoenix,Split,EDward Gaming,13,7,6,,FunPlus Phoenix,9,4,5,,1:00:11
VCT 2025: China Stage 1,Group Stage,Week 5,EDward Gaming vs FunPlus Phoenix,Fracture,EDward Gaming,13,6,7,,FunPlus Phoenix,7,1,6,,
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Titan Esports Club vs Wolves Esports,Haven,Titan Esports Club,11,6,5,,Wolves Esports,13,7,6,,1:01:52
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Titan Esports Club vs Wolves Esports,Icebox,Titan Esports Club,10,4,6,,Wolves Esports,13,5,8,,53:06
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Xi Lai Gaming vs Nova Esports,Lotus,Xi Lai Gaming,13,7,6,,Nova Esports,6,1,5,,54:04
VCT 2025: China Stage 1,Playoffs,Upper Round 1,Xi Lai Gaming vs Nova Esports,Ascent,Xi Lai Gaming,13,10,3,,Nova Esports,2,0,2,,34:09
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,Ascent,Titan Esports Club,13,11,2,,Dragon Ranger Gaming,1,0,1,,45:53
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,Fracture,Titan Esports Club,12,5,7,0,Dragon Ranger Gaming,14,5,7,2,1:03:36
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Titan Esports Club vs Dragon Ranger Gaming,Lotus,Titan Esports Club,16,8,4,4,Dragon Ranger Gaming,18,8,4,6,1:19:41
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Nova Esports vs Trace Esports,Split,Nova Esports,9,7,2,,Trace Esports,13,8,5,,1:03:23
VCT 2025: China Stage 1,Playoffs,Lower Round 1,Nova Esports vs Trace Esports,Lotus,Nova Esports,4,3,1,,Trace Esports,13,4,9,,37:59
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Bilibili Gaming vs Wolves Esports,Split,Bilibili Gaming,8,5,3,,Wolves Esports,13,6,7,,1:01:39
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,Bilibili Gaming vs Wolves Esports,Haven,Bilibili Gaming,8,5,3,,Wolves Esports,13,6,7,,41:49
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,EDward Gaming vs Xi Lai Gaming,Lotus,EDward Gaming,9,4,5,,Xi Lai Gaming,13,5,8,,1:00:58
VCT 2025: China Stage 1,Playoffs,Upper Semifinals,EDward Gaming vs Xi Lai Gaming,Haven,EDward Gaming,11,5,6,,Xi Lai Gaming,13,6,7,,52:44
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Bilibili Gaming vs Trace Esports,Fracture,Bilibili Gaming,13,5,8,,Trace Esports,8,1,7,,1:01:18
VCT 2025: China Stage 1,Playoffs,Lower Round 2,Bilibili Gaming vs Trace Esports,Lotus,Bilibili Gaming,13,9,4,,Trace Esports,4,1,3,,37:45
VCT 2025: China Stage 1,Playoffs,Lower Round 2,EDward Gaming vs Dragon Ranger Gaming,Lotus,EDward Gaming,13,8,5,,Dragon Ranger Gaming,8,4,4,,52:55
VCT 2025: China Stage 1,Playoffs,Lower Round 2,EDward Gaming vs Dragon Ranger Gaming,Split,EDward Gaming,11,6,5,,Dragon Ranger Gaming,13,7,6,,48:20
VCT 2025: China Stage 1,Playoffs,Lower Round 2,EDward Gaming vs Dragon Ranger Gaming,Ascent,EDward Gaming,13,5,8,,Dragon Ranger Gaming,8,1,7,,45:48
VCT 2025: China Stage 1,Playoffs,Upper Final,Wolves Esports vs Xi Lai Gaming,Pearl,Wolves Esports,7,6,1,,Xi Lai Gaming,13,7,6,,1:07:31
VCT 2025: China Stage 1,Playoffs,Upper Final,Wolves Esports vs Xi Lai Gaming,Lotus,Wolves Esports,12,5,7,0,Xi Lai Gaming,14,5,7,2,59:29
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,Fracture,EDward Gaming,13,7,6,,Bilibili Gaming,8,3,5,,58:17
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,Icebox,EDward Gaming,8,3,5,,Bilibili Gaming,13,4,9,,44:30
VCT 2025: China Stage 1,Playoffs,Lower Round 3,EDward Gaming vs Bilibili Gaming,Pearl,EDward Gaming,11,5,6,,Bilibili Gaming,13,6,7,,57:30
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Pearl,Wolves Esports,9,7,2,,Bilibili Gaming,13,8,5,,1:14:49
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Lotus,Wolves Esports,11,8,3,,Bilibili Gaming,13,9,4,,55:22
VCT 2025: China Stage 1,Playoffs,Lower Final,Wolves Esports vs Bilibili Gaming,Icebox,Wolves Esports,7,6,1,,Bilibili Gaming,13,7,6,,43:47
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Fracture,Xi Lai Gaming,15,5,7,3,Bilibili Gaming,13,5,7,1,1:24:03
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Lotus,Xi Lai Gaming,13,7,6,,Bilibili Gaming,10,5,5,,54:22
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Pearl,Xi Lai Gaming,8,6,2,,Bilibili Gaming,13,7,6,,54:36
VCT 2025: China Stage 1,Playoffs,Grand Final,Xi Lai Gaming vs Bilibili Gaming,Haven,Xi Lai Gaming,14,7,5,2,Bilibili Gaming,12,7,5,0,57:01
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Lotus,Cloud9,6,5,1,,Mega Minors,13,6,7,,54:13
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Fracture,Cloud9,13,8,5,,Mega Minors,5,1,4,,38:15
VCT 2025: Americas Stage 1,Group Stage,Week 1,Cloud9 vs NRG,Pearl,Cloud9,13,9,4,,Mega Minors,9,6,3,,48:35
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,Fracture,KRÜ Esports,3,1,2,,LOUD,13,2,11,,46:33
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,Haven,KRÜ Esports,13,10,3,,LOUD,2,0,2,,34:40
VCT 2025: Americas Stage 1,Group Stage,Week 1,KRÜ Esports vs LOUD,Split,KRÜ Esports,13,4,9,,LOUD,10,2,8,,59:53
VCT 2025: Americas Stage 1,Group Stage,Week 1,G2 Esports vs FURIA,Lotus,G2 Esports,13,3,10,,FURIA,10,1,9,,1:06:57
VCT 2025: Americas Stage 1,Group Stage,Week 1,G2 Esports vs FURIA,Ascent,G2 Esports,13,8,5,,FURIA,7,3,4,,46:33
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,Split,MIBR,13,6,7,,LEVIATÁN,7,1,6,,50:40
VCT 2025: Americas Stage 1,Group Stage,Week 1,MIBR vs LEVIATÁN,Icebox,MIBR,13,4,9,,LEVIATÁN,8,0,8,,52:57
VCT 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,Haven,2Game Esports,11,4,7,,Evil Geniuses,13,5,8,,58:34
VCT 2025: Americas Stage 1,Group Stage,Week 1,2Game Esports vs Evil Geniuses,Lotus,2Game Esports,8,5,3,,Evil Geniuses,13,6,7,,46:25
VCT 2025: Americas Stage 1,Group Stage,Week 1,Sentinels vs 100 Thieves,Pearl,Sentinels,13,8,5,,100 Thieves,5,1,4,,47:37
VCT 2025: Americas Stage 1,Group Stage,Week 1,Sentinels vs 100 Thieves,Haven,Sentinels,9,6,3,,100 Thieves,13,7,6,,42:21
VCT 2025: Americas Stage 1,Group Stage,Week 1,Sentinels vs 100 Thieves,Split,Sentinels,13,11,2,,100 Thieves,1,0,1,,32:58
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Lotus,Mega Minors,10,6,4,,FURIA,13,7,6,,1:03:20
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Pearl,Mega Minors,13,10,3,,FURIA,2,0,2,,38:07
VCT 2025: Americas Stage 1,Group Stage,Week 2,NRG vs FURIA,Fracture,Mega Minors,13,10,3,,FURIA,4,2,2,,37:29
VCT 2025: Americas Stage 1,Group Stage,Week 2,Sentinels vs KRÜ Esports,Lotus,Sentinels,7,6,1,,KRÜ Esports,13,7,6,,52:17
VCT 2025: Americas Stage 1,Group Stage,Week 2,Sentinels vs KRÜ Esports,Icebox,Sentinels,8,7,1,,KRÜ Esports,13,8,5,,48:28
VCT 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,Fracture,100 Thieves,13,6,7,,Evil Geniuses,10,4,6,,54:51
VCT 2025: Americas Stage 1,Group Stage,Week 2,100 Thieves vs Evil Geniuses,Haven,100 Thieves,13,6,7,,Evil Geniuses,7,1,6,,44:46
VCT 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,Pearl,G2 Esports,12,6,6,0,MIBR,14,6,6,2,1:10:31
VCT 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,Haven,G2 Esports,13,7,6,,MIBR,11,6,5,,1:03:03
VCT 2025: Americas Stage 1,Group Stage,Week 2,G2 Esports vs MIBR,Ascent,G2 Esports,13,8,5,,MIBR,8,4,4,,48:09
VCT 2025: Americas Stage 1,Group Stage,Week 2,LOUD vs 2Game Esports,Lotus,LOUD,12,7,5,0,2Game Esports,14,7,5,2,1:14:14
VCT 2025: Americas Stage 1,Group Stage,Week 2,LOUD vs 2Game Esports,Pearl,LOUD,11,5,6,,2Game Esports,13,6,7,,58:40
VCT 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,Split,LEVIATÁN,8,4,4,,Cloud9,13,5,8,,1:03:43
VCT 2025: Americas Stage 1,Group Stage,Week 2,LEVIATÁN vs Cloud9,Ascent,LEVIATÁN,3,1,2,,Cloud9,13,2,11,,33:55
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Haven,Evil Geniuses,4,2,2,,Sentinels,13,3,10,,48:27
VCT 2025: Americas Stage 1,Group Stage,Week 3,Evil Geniuses vs Sentinels,Pearl,Evil Geniuses,6,5,1,,Sentinels,13,6,7,,48:01
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,Haven,100 Thieves,6,4,2,,LOUD,13,5,8,,51:00
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,Icebox,100 Thieves,13,3,10,,LOUD,11,2,9,,55:05
VCT 2025: Americas Stage 1,Group Stage,Week 3,100 Thieves vs LOUD,Split,100 Thieves,13,7,6,,LOUD,8,3,5,,50:57
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,Icebox,2Game Esports,6,4,2,,KRÜ Esports,13,5,8,,54:19
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,Ascent,2Game Esports,13,6,7,,KRÜ Esports,6,0,6,,47:05
VCT 2025: Americas Stage 1,Group Stage,Week 3,2Game Esports vs KRÜ Esports,Pearl,2Game Esports,6,0,6,,KRÜ Esports,13,1,12,,44:57
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,Lotus,G2 Esports,13,11,2,,Mega Minors,1,0,1,,39:18
VCT 2025: Americas Stage 1,Group Stage,Week 3,G2 Esports vs NRG,Ascent,G2 Esports,13,10,3,,Mega Minors,6,4,2,,45:13
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,Ascent,FURIA,4,4,0,,LEVIATÁN,13,5,8,,45:56
VCT 2025: Americas Stage 1,Group Stage,Week 3,FURIA vs LEVIATÁN,Pearl,FURIA,5,4,1,,LEVIATÁN,13,5,8,,42:06
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Pearl,Cloud9,13,5,8,,MIBR,9,2,7,,1:00:19
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Lotus,Cloud9,13,3,9,1,MIBR,15,3,9,3,1:01:15
VCT 2025: Americas Stage 1,Group Stage,Week 3,Cloud9 vs MIBR,Haven,Cloud9,11,3,8,,MIBR,13,4,9,,54:53
VCT 2025: Americas Stage 1,Group Stage,Week 4,100 Thieves vs 2Game Esports,Ascent,100 Thieves,15,6,6,3,2Game Esports,13,6,6,1,1:14:32
VCT 2025: Americas Stage 1,Group Stage,Week 4,100 Thieves vs 2Game Esports,Icebox,100 Thieves,13,7,6,,2Game Esports,6,1,5,,40:50
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Lotus,G2 Esports,13,6,7,,LEVIATÁN,10,4,6,,1:03:37
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Fracture,G2 Esports,11,7,4,,LEVIATÁN,13,8,5,,55:09
VCT 2025: Americas Stage 1,Group Stage,Week 4,G2 Esports vs LEVIATÁN,Haven,G2 Esports,13,10,3,,LEVIATÁN,7,5,2,,44:09
VCT 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,Lotus,FURIA,14,4,8,2,Cloud9,16,4,8,4,1:20:37
VCT 2025: Americas Stage 1,Group Stage,Week 4,FURIA vs Cloud9,Pearl,FURIA,1,1,0,,Cloud9,13,2,11,,33:41
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Split,Sentinels,13,7,6,,LOUD,10,5,5,,1:03:10
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Lotus,Sentinels,11,6,5,,LOUD,13,7,6,,55:13
VCT 2025: Americas Stage 1,Group Stage,Week 4,Sentinels vs LOUD,Haven,Sentinels,13,9,4,,LOUD,5,2,3,,36:15
